소관부처,전문기관,공고번호,공고명,공고일자,접수기간,사업담당자 연락처,접수 개시 여부,바로 가기 링크,공고상태,공모유형,상세본문요약,수집일시_UTC,source_key
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-0696호,2026년 한-캐나다 이공계 대학원생 연수프로그램 공모,2026-06-22,,,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022515&ancmPrg=ancmIng,공고접수중,자유공모,사업공고 | API 신청 | 연계 담당자 신청,2026-06-22T08:32:59+00:00,3de6668252dd470a
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-0692호,2026년도 한-체코 공동연구사업 신규과제 공모,2026-06-17,2026-06-17 ~ 2026-07-30,042-862-1500; 1877-2041; 2026-0692,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022514&ancmPrg=ancmIng,공고접수중,분야공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026-0692호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-22T08:32:59+00:00,62c51e641a4b9871
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026-0703호,2026년 하반기 원자력정책연구사업 공고,2026-06-16,2026-06-16 ~ 2026-06-30,042-862-1500; 1877-2041; 2026-0703,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022574&ancmPrg=ancmIng,공고접수중,지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026-0703호 | 공고명 | 2026년 하반기 원자력정책연구사업 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:32:59+00:00,a685a2413d4c0461
산업통상부,한국산업기술기획평가원,산업통상부 공고 제2026-433호,(수정) 2026년도 제3차 조선해양산업기술개발사업(AI완전자율운항선박기술개발) 신규지원 대상과제 공고,2026-06-15,2026-06-15 ~ 2026-07-14,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022474&ancmPrg=ancmIng,공고접수중,지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 산업통상부 공고 제2026-433호 | 공고명 | (수정) 2026년도 제3차 조선해양산업기술개발사업(AI완전자율운항선박기술개발) 신규지원 대상과제 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:32:59+00:00,217dad771c53eb1a
기후에너지환경부,한국에너지기술평가원,기후에너지환경부 공고 제2026-76호,2026년도 1차 에너지인력양성사업 및 에너지차세대리더 육성사업 신규지원대상 연구개발과제 재공고(에너지기술공유대학),2026-06-15,2026-06-19 ~ 2026-07-21,,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022294&ancmPrg=ancmIng,공고접수중,자유공모,사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 기후에너지환경부 공고 제2026-76호 | 공고명 | 2026년도 1차 에너지인력양성사업 및 에너지차세대리더 육성사업 신규지원대상 연구개발과제 재공고(에너지기술공유대학) | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-22T08:32:59+00:00,384c845905185c0a
기후에너지환경부,한국에너지기술평가원,KP_2026_002,2026년도 1차 에너지인력양성사업 및 에너지차세대리더 육성사업 신규지원대상 연구개발과제 재공고,2026-06-15,2026-06-19 ~ 2026-07-21,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022235&ancmPrg=ancmIng,공고접수중,자유공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 공고명 | 2026년도 1차 에너지인력양성사업 및 에너지차세대리더 육성사업 신규지원대상 연구개발과제 재공고 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-22T08:32:59+00:00,a2bcbf02ef21d6d0
해양수산부,해양수산과학기술진흥원,해양수산부 공고-제2026-1082호,2026년도 AI 완전자율운항선박 기술개발사업 신규과제 선정계획 공고,2026-06-15,2026-06-15 ~ 2026-07-14,042-862-1500; 1877-2041; 2026-1082,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=021994&ancmPrg=ancmIng,공고접수중,지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 해양수산부 공고-제2026-1082호 | 공고명 | 2026년도 AI 완전자율운항선박 기술개발사업 신규과제 선정계획 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:32:59+00:00,e4c0f58aadb66887
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2026 - 0690호,바이오·의료기술개발 사업 신규과제 제5차 공모,2026-06-12,2026-06-12 ~ 2026-07-13,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022457&ancmPrg=ancmIng,공고접수중,분야공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 과학기술정보통신부 공고 제2026 - 0690호 | 공고명 | 공고일자 | 재공고 여부 | 접수기간 | 사업담당자,2026-06-22T08:32:59+00:00,ae7357c5f10937c1
산업통상부,한국산업기술기획평가원,산업통상부 공고 제2026-429호,2026년도 제2차 조선해양산업기술개발사업(조선해양산업핵심기술개발) 신규지원 대상과제 공고,2026-06-12,2026-06-12 ~ 2026-07-13,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022434&ancmPrg=ancmIng,공고접수중,품목지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 산업통상부 공고 제2026-429호 | 공고명 | 2026년도 제2차 조선해양산업기술개발사업(조선해양산업핵심기술개발) 신규지원 대상과제 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:32:59+00:00,069a54f1340aa016
산업통상부,한국산업기술기획평가원,산업통상부 국가기술표준원 공고 제2026-189호,2026년도 제2차 국가표준기술력향상사업 신규지원 대상과제 공고,2026-06-12,2026-06-19 ~ 2026-07-13,042-862-1500; 1877-2041,Y,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=022395&ancmPrg=ancmIng,공고접수중,품목지정공모,사업공고-상세 < 사업공고<범부처통합연구지원시스템(IRIS) | 사업공고 | API 신청 | 연계 담당자 신청 | 전문기관 | 공고번호 | 산업통상부 국가기술표준원 공고 제2026-189호 | 공고명 | 2026년도 제2차 국가표준기술력향상사업 신규지원 대상과제 공고 | 공고일자 | 재공고 여부 | 접수기간,2026-06-22T08:32:59+00:00,e698b63439383180
